OBJECTID,NAME,PMA,PARKSBND_AREA,GLOBALID,SHAPE_Length,SHAPE_Area
399,SANDEL PLAYGROUND,250,161891.473139,{66D18E16-8F3A-4BE9-B9D4-50DC0103C9AC},1739.22047044653,161890.825573376
400,SCHMITZ BOULEVARD,4236,103977.441069,{D8756B6A-1F8E-4A69-97B2-41A6652B58A4},2562.38332612435,103977.025159601
401,SCHMITZ PRESERVE PARK,465,2311529.376994,{D9A2033D-0BDF-49AF-9411-D83E75BE4E26},11289.3680725751,2311520.13088608
402,SEACREST PARK,455,704266.023676,{57E40AF5-7A8F-48D5-874F-84FB668E2227},5441.37904232001,704263.20661197
403,SEATTLE AQUARIUM,335,203736.420002,{23A32107-835D-4BCB-B3B4-1E9A3237B599},2168.11866095836,203735.60505557
404,SEOLA BEACH GREENBELT,466,23531.040365,{166FDCBF-5ADD-4565-A7E4-CDF8644A98CE},963.523174203006,23530.9462414162
405,SEOLA PARK,466,615245.88215,{E83B494D-86B5-453E-BAA1-40ED65C37FCB},6854.31503571119,615243.421168646
406,SEVEN HILLS PARK,4466,17330.242331,{A7217B02-F3A6-4D12-A1F3-9A0AF97E2BB1},528.510750856506,17330.1730105944
407,SEWARD PARK,428,12809775.848394,{C9051CFE-C997-42BA-9A8D-D9FA763D4148},16963.250268809,12809724.6093454
408,SIERRA PLACE,3928,640.143887,{01FBF54B-198F-49B0-AD72-FABEDC4B598A},124.466157591377,640.141326067683
409,SMITH COVE PARK,4433,414345.971544,{461FF3F3-FFD4-47BD-A760-332D79DF5087},5133.61109925471,414344.314161445
410,SOLSTICE PARK,4453,312494.552834,{7C72EA14-3F77-460A-B15D-5E53FAE57DBB},2461.24858694609,312493.302857947
411,SOUNDVIEW PLAYFIELD,251,458017.909064,{69F8135B-1318-4F5F-8EA2-910B6FD02AB1},2879.06678196412,458016.076995403
412,SOUNDVIEW TERRACE,3987,13215.883196,{49FA0FD2-2B21-4AAA-B74E-10179B8CAC9E},765.655243562549,13215.8303321533
413,SOUTH DAY STREET PARK,4082,169286.230327,{87D4559E-EE69-4822-8135-1087EAB48047},1746.68566364657,169285.553183545
414,SOUTH PARK MEADOW,4048,42909.059313,{959CC1BA-98B8-4C08-A412-57C52FA9072E},828.613597659382,42908.88767811
415,SOUTH PARK PLAYGROUND,467,241910.572983,{0C5172B6-BB83-4980-8394-B404CF6260CA},1955.65212439191,241909.605341635
416,SOUTH PARK PLAZA,4491,36280.172238,{4CEFD6C6-0B96-4525-BA07-5FBB765EC599},769.52656103817,36280.0271173699
417,SOUTH PASSAGE POINT PARK,377,38765.539696,{6E8BF9F1-EC9C-4070-BE42-BAE6C01FFA3E},882.349824437222,38765.3846347578
418,SPRING STREET MINI PARK,381,14304.099986,{AEB430A0-1DEB-4023-8415-1D60E14BB723},478.400073013278,14304.0427697536
419,SPRUCE STREET MINI PARK,3117,31987.854633,{08786EDE-6122-4628-9D2F-178F72F214A1},755.955252984029,31987.7266814093
420,ST MARKS GREENBELT,2848,128747.107588,{135C5356-3B34-428E-86B4-85E42B20CF06},3173.07771742586,128746.592600952
421,STANLEY SAYRES MEMORIAL PARK,425,968353.732583,{B92D6537-4FA8-419C-A1F5-07339FA994AB},10555.9282318602,968349.859175676
422,STEVENS PLACE,3919,8069.763024,{6F39687B-2BE7-4A8D-91DF-246C1765ED7E},455.352218090667,8069.73074556101
423,STEVENS TRIANGLE,3981,3096.817975,{79A8B350-18A7-40BA-8E07-7C45D9A3D684},412.143991687798,3096.80558758329
424,STIM BULLITT NATURAL AREA,4488,237930.947592,{DDE91471-5658-4C9B-BAEF-077C46D7D79C},2844.00550091156,237929.995868048
425,STREISSGUTH GARDENS,4628,30297.023391,{7FC82FF4-E02E-4179-BAF6-D254A09B1619},816.850324069817,30296.9022024263
426,STURGUS PARK,592,92487.615447,{8358AA56-6E3F-4BBF-BB14-00ED41BB0391},2374.12076975089,92487.2454970659
427,STURTEVANT RAVINE,290,122273.556099,{CAAFA2F1-2469-4E8A-8720-E35F3B0ADA73},2576.25397502287,122273.067003885
428,SUMMIT PLACE,383,764.632218,{675739E1-CED9-4872-9169-A18A0055E0F4},134.462362708974,764.629159268049
429,SUMMIT SLOPE PARK,4461,9605.360712,{E5242C1B-7D91-4C74-A989-D5D63D1F5B9F},400.131669323451,9605.32229052578
430,SUN PARK,4655,4055.817909,{DB14D8BA-9087-4254-ACD0-AF6FCEA3A6C2},264.01099609259,4055.80168611933
431,SUNNYSIDE AVE N BOAT RAMP,3903,23534.881539,{2C425A20-0264-483D-B2C8-5FAAD291BAAE},909.430369451772,23534.7873973393
432,SUNSET HILL PARK,252,117486.316274,{7AE4C7CE-27AD-4215-87E4-644A72E601C2},1799.95695495555,117485.846329442
433,SUNSET PLACE,3901,4761.642038,{6BC7D841-4466-42BF-9DC3-904BF0078FE7},288.776610460409,4761.62299138547
434,SW QUEEN ANNE GREENBELT,234,554008.878564,{0D75B872-CD70-4ED1-9CD9-D62D7DFD81B9},10850.7959422537,554006.662531103
435,T.T. MINOR PLAYGROUND,3913,70983.512502,{D08D62FA-662F-4F4E-95DF-4FCB8D5DDED2},1165.80392051847,70983.2285686712
436,TASHKENT PARK,384,20514.288834,{BE991EA1-8ABC-455F-B8DD-7E74F0C105F1},722.937426733924,20514.2067777569
437,TAYLOR CREEK HEADWATERS,4475,30275.173097,{E86D45DB-7CCE-46E9-A406-5E2E11AFD521},997.025156680187,30275.0519964245
438,TERRY PETTUS PARK,3889,41552.754022,{36942284-CF39-434F-A728-CE3E68F9B964},998.046107558571,41552.5878112132
